Artificial Intelligence and Machine Learning 	572	573	574	634	672	673		
Computer Architecture and Parallel Computing 	525	526	581	583	681	626		
Bioinformatics and Computational Biology 	544	549	550	551	567	568	569	570
Database and Information Systems 	561	562	661					
Artificial Intelligence	572	672	634	573	673			
Machine Learning	573	673	572	672				
Bioinformatics	567	568	569	570	544			
Computational Biology	549	550						
Computer Architecture	581	583	586	681				
Parallel Computing 	525	526	626					
